"订单日期","地区","产品","产品类别","客户类型","销售额","成本","折扣","数量"
"2024-09-07","华东","轻氧防晒外套","服饰箱包","老客户","717.6","385.71","0.2","3"
"2024-09-27","华南","原木收纳架","家居生活","企业客户","3619","1881.88","0","11"
"2024-09-28","华南","轻羽智能手表","数码家电","老客户","2697","1645.17","0","3"
"2024-09-03","华南","极光机械键盘","数码家电","老客户","2187.9","1492.92","0.15","6"
"2024-09-05","西南","轻氧防晒外套","服饰箱包","新客户","538.2","257.14","0.1","2"
"2024-09-20","华南","原木收纳架","家居生活","老客户","592.2","342.16","0.1","2"
"2024-09-23","西南","山野挂耳咖啡","食品饮料","企业客户","422.75","173.55","0.05","5"
"2024-09-09","华北","极光机械键盘","数码家电","老客户","1222.65","746.46","0.05","3"
"2024-09-03","西南","原木收纳架","家居生活","老客户","1250.2","684.32","0.05","4"
"2024-09-14","华南","原木收纳架","家居生活","老客户","2072.7","1197.56","0.1","7"
"2024-09-21","西南","低糖燕麦脆","食品饮料","老客户","110.4","60.72","0.2","2"
"2024-09-21","西南","城市通勤双肩包","服饰箱包","老客户","861.6","516.96","0.2","3"
"2024-09-15","华北","每日坚果礼盒","食品饮料","企业客户","906.3","591.48","0.05","6"
"2024-10-27","西南","云感记忆枕","家居生活","企业客户","1434","645.3","0","6"
"2024-10-09","华中","极光机械键盘","数码家电","企业客户","2445.3","1492.92","0.05","6"
"2024-10-22","西南","轻氧防晒外套","服饰箱包","企业客户","1495","642.85","0","5"
"2024-10-05","西南","原木收纳架","家居生活","企业客户","1316","855.4","0.2","5"
"2024-10-25","华东","星云降噪耳机","数码家电","企业客户","9087","5088.72","0","13"
"2024-10-05","西南","星云降噪耳机","数码家电","企业客户","6291","3522.96","0","9"
"2024-10-14","华北","极光机械键盘","数码家电","企业客户","4011.15","2737.02","0.15","11"
"2024-10-13","华中","云感记忆枕","家居生活","老客户","609.45","322.65","0.15","3"
"2024-10-26","西南","城市通勤双肩包","服饰箱包","企业客户","3231","1723.2","0.1","10"
"2024-10-25","华中","低糖燕麦脆","食品饮料","企业客户","558.9","273.24","0.1","9"
"2024-10-28","华东","每日坚果礼盒","食品饮料","企业客户","1756.95","1281.54","0.15","13"
"2024-10-01","华北","山野挂耳咖啡","食品饮料","企业客户","756.5","347.1","0.15","10"
"2024-10-23","西南","原木收纳架","家居生活","新客户","1645","855.4","0","5"
"2024-10-04","西南","极光机械键盘","数码家电","企业客户","3861","2488.2","0.1","10"
"2024-10-18","华北","每日坚果礼盒","食品饮料","企业客户","1113","690.06","0","7"
"2024-10-05","华东","低糖燕麦脆","食品饮料","新客户","345","151.8","0","5"
"2024-10-08","华南","星云降噪耳机","数码家电","企业客户","5347.35","3522.96","0.15","9"
"2024-10-12","华北","城市通勤双肩包","服饰箱包","企业客户","3069.45","1550.88","0.05","9"
"2024-10-15","华南","山野挂耳咖啡","食品饮料","企业客户","1068","416.52","0","12"
"2024-10-15","华中","低糖燕麦脆","食品饮料","老客户","351.9","182.16","0.15","6"
"2024-10-19","西南","暖阳香薰机","家居生活","企业客户","1592","748.24","0","8"
"2024-10-21","华中","星云降噪耳机","数码家电","老客户","2656.2","1565.76","0.05","4"
"2024-10-28","华北","轻羽智能手表","数码家电","企业客户","8900.1","6032.29","0.1","11"
"2024-10-20","华中","云感记忆枕","家居生活","老客户","956","430.2","0","4"
"2024-10-15","西南","极光机械键盘","数码家电","老客户","1544.4","995.28","0.1","4"
"2024-10-08","华南","轻氧防晒外套","服饰箱包","老客户","598","257.14","0","2"
"2024-10-01","西南","轻氧防晒外套","服饰箱包","企业客户","2093","899.99","0","7"
"2024-10-27","华东","极光机械键盘","数码家电","企业客户","3281.85","2239.38","0.15","9"
"2024-10-15","华北","每日坚果礼盒","食品饮料","老客户","540.6","394.32","0.15","4"
"2024-10-27","西南","每日坚果礼盒","食品饮料","老客户","429.3","295.74","0.1","3"
"2024-10-24","西南","极光机械键盘","数码家电","新客户","1823.25","1244.1","0.15","5"
"2024-10-04","华南","云感记忆枕","家居生活","新客户","1422.05","752.85","0.15","7"
"2024-10-11","西南","暖阳香薰机","家居生活","企业客户","1432.8","841.77","0.2","9"
"2024-10-15","华南","复古帆布鞋","服饰箱包","企业客户","3228","1581.72","0","12"
"2024-10-19","华中","原木收纳架","家居生活","新客户","312.55","171.08","0.05","1"
"2024-10-08","华中","暖阳香薰机","家居生活","企业客户","1184.05","654.71","0.15","7"
"2024-11-16","华北","复古帆布鞋","服饰箱包","老客户","1371.9","790.86","0.15","6"
"2024-11-10","华东","轻氧防晒外套","服饰箱包","老客户","568.1","257.14","0.05","2"
"2024-11-09","华东","轻氧防晒外套","服饰箱包","企业客户","3289","1414.27","0","11"
"2024-11-23","华东","原木收纳架","家居生活","老客户","1398.25","855.4","0.15","5"
"2024-11-17","华北","轻羽智能手表","数码家电","企业客户","8540.5","5483.9","0.05","10"
"2024-11-07","华南","暖阳香薰机","家居生活","老客户","1701.45","841.77","0.05","9"
"2024-11-02","华北","暖阳香薰机","家居生活","企业客户","2985","1402.95","0","15"
"2024-11-07","华东","极光机械键盘","数码家电","企业客户","5298.15","3234.66","0.05","13"
"2024-11-24","西南","山野挂耳咖啡","食品饮料","新客户","534","208.26","0","6"
"2024-11-17","华南","原木收纳架","家居生活","新客户","1316","855.4","0.2","5"
"2024-11-09","华南","原木收纳架","家居生活","企业客户","4935","2566.2","0","15"
"2024-11-14","西南","暖阳香薰机","家居生活","新客户","955.2","561.18","0.2","6"
"2024-11-21","西南","原木收纳架","家居生活","新客户","1677.9","1026.48","0.15","6"
"2024-11-13","华东","轻氧防晒外套","服饰箱包","新客户","2990","1285.7","0","10"
"2024-11-22","华北","星云降噪耳机","数码家电","老客户","2097","1174.32","0","3"
"2024-11-18","西南","低糖燕麦脆","食品饮料","老客户","207","91.08","0","3"
"2024-11-28","华中","轻羽智能手表","数码家电","老客户","3416.2","2193.56","0.05","4"
"2024-11-16","华南","低糖燕麦脆","食品饮料","企业客户","869.4","425.04","0.1","14"
"2024-11-03","华南","复古帆布鞋","服饰箱包","老客户","1829.2","1054.48","0.15","8"
"2024-11-14","华南","原木收纳架","家居生活","新客户","2072.7","1197.56","0.1","7"
"2024-11-22","华南","复古帆布鞋","服饰箱包","企业客户","2743.8","1581.72","0.15","12"
"2024-11-17","西南","轻氧防晒外套","服饰箱包","老客户","897","385.71","0","3"
"2024-11-03","华中","轻羽智能手表","数码家电","新客户","1798","1096.78","0","2"
"2024-11-12","西南","复古帆布鞋","服饰箱包","新客户","538","263.62","0","2"
"2024-11-27","西南","城市通勤双肩包","服饰箱包","企业客户","2907.9","1550.88","0.1","9"
"2024-11-13","华北","轻羽智能手表","数码家电","新客户","6832.4","4387.12","0.05","8"
"2024-11-25","华东","复古帆布鞋","服饰箱包","新客户","2152","1318.1","0.2","10"
"2024-11-28","华南","城市通勤双肩包","服饰箱包","新客户","1148.8","689.28","0.2","4"
"2024-11-19","华中","暖阳香薰机","家居生活","企业客户","1273.6","748.24","0.2","8"
"2024-11-15","华东","山野挂耳咖啡","食品饮料","企业客户","1513","590.07","0","17"
"2024-11-23","华南","极光机械键盘","数码家电","老客户","1823.25","1244.1","0.15","5"
"2024-11-28","华南","复古帆布鞋","服饰箱包","老客户","457.3","263.62","0.15","2"
"2024-11-16","西南","复古帆布鞋","服饰箱包","企业客户","2690","1318.1","0","10"
"2024-11-02","华南","每日坚果礼盒","食品饮料","新客户","302.1","197.16","0.05","2"
"2024-11-22","西南","低糖燕麦脆","食品饮料","企业客户","786.6","364.32","0.05","12"
"2024-11-04","华南","云感记忆枕","家居生活","老客户","1673","752.85","0","7"
"2024-12-09","西南","暖阳香薰机","家居生活","老客户","1134.3","561.18","0.05","6"
"2024-12-21","华东","云感记忆枕","家居生活","老客户","430.2","215.1","0.1","2"
"2024-12-18","华中","暖阳香薰机","家居生活","新客户","796","374.12","0","4"
"2024-12-09","华南","低糖燕麦脆","食品饮料","企业客户","586.5","303.6","0.15","10"
"2024-12-08","华中","每日坚果礼盒","食品饮料","老客户","675.75","492.9","0.15","5"
"2024-12-26","华南","轻羽智能手表","数码家电","企业客户","8630.4","6580.68","0.2","12"
"2024-12-07","华东","城市通勤双肩包","服饰箱包","老客户","2872","1378.56","0","8"
"2024-12-08","华南","云感记忆枕","家居生活","新客户","1816.4","860.4","0.05","8"
"2024-12-28","华北","云感记忆枕","家居生活","新客户","1625.2","860.4","0.15","8"
"2024-12-17","华南","低糖燕麦脆","食品饮料","新客户","386.4","212.52","0.2","7"
"2024-12-04","西南","山野挂耳咖啡","食品饮料","企业客户","760.95","312.39","0.05","9"
"2024-12-03","西南","低糖燕麦脆","食品饮料","新客户","110.4","60.72","0.2","2"
"2024-12-26","华东","轻氧防晒外套","服饰箱包","企业客户","3588","1928.55","0.2","15"
"2024-12-15","华北","轻羽智能手表","数码家电","老客户","1438.4","1096.78","0.2","2"
"2024-12-24","西南","极光机械键盘","数码家电","新客户","1287","746.46","0","3"
"2024-12-01","华东","低糖燕麦脆","食品饮料","新客户","138","60.72","0","2"
"2024-12-06","华南","城市通勤双肩包","服饰箱包","老客户","1077","516.96","0","3"
"2024-12-14","华中","云感记忆枕","家居生活","新客户","1434","645.3","0","6"
"2024-12-11","西南","原木收纳架","家居生活","新客户","1184.4","684.32","0.1","4"
"2024-12-28","华东","每日坚果礼盒","食品饮料","老客户","1216.35","887.22","0.15","9"
"2024-12-10","华东","云感记忆枕","家居生活","老客户","1935.9","967.95","0.1","9"
"2024-12-13","华东","轻氧防晒外套","服饰箱包","老客户","2093","899.99","0","7"
"2024-12-28","西南","城市通勤双肩包","服饰箱包","企业客户","2872","1723.2","0.2","10"
"2024-12-19","华南","低糖燕麦脆","食品饮料","新客户","262.2","121.44","0.05","4"
"2024-12-06","华东","暖阳香薰机","家居生活","新客户","796","374.12","0","4"
"2024-12-28","华南","轻羽智能手表","数码家电","新客户","7192","4387.12","0","8"
"2024-12-15","华北","每日坚果礼盒","食品饮料","新客户","604.2","394.32","0.05","4"
"2024-12-25","华中","极光机械键盘","数码家电","老客户","1630.2","995.28","0.05","4"
"2024-12-28","华中","复古帆布鞋","服饰箱包","企业客户","2797.6","1713.53","0.2","13"
"2024-12-18","华南","轻氧防晒外套","服饰箱包","老客户","1345.5","642.85","0.1","5"
"2024-12-15","西南","极光机械键盘","数码家电","老客户","1372.8","995.28","0.2","4"
"2024-12-03","华东","轻氧防晒外套","服饰箱包","新客户","1779.05","899.99","0.15","7"
"2024-12-27","华南","城市通勤双肩包","服饰箱包","老客户","1705.25","861.6","0.05","5"
"2024-12-06","华南","暖阳香薰机","家居生活","企业客户","1751.2","1028.83","0.2","11"
"2024-12-17","西南","山野挂耳咖啡","食品饮料","老客户","160.2","69.42","0.1","2"
"2024-12-25","西南","复古帆布鞋","服饰箱包","企业客户","2582.4","1581.72","0.2","12"
"2025-01-22","华中","原木收纳架","家居生活","新客户","987","513.24","0","3"
"2025-01-14","西南","每日坚果礼盒","食品饮料","老客户","508.8","394.32","0.2","4"
"2025-01-16","华东","原木收纳架","家居生活","新客户","888.3","513.24","0.1","3"
"2025-01-08","华南","暖阳香薰机","家居生活","老客户","716.4","374.12","0.1","4"
"2025-01-14","华中","轻氧防晒外套","服饰箱包","企业客户","2093","899.99","0","7"
"2025-01-19","华中","星云降噪耳机","数码家电","老客户","1258.2","782.88","0.1","2"
"2025-01-04","华南","低糖燕麦脆","食品饮料","企业客户","558.9","273.24","0.1","9"
"2025-01-18","华北","复古帆布鞋","服饰箱包","新客户","538","263.62","0","2"
"2025-01-20","华东","极光机械键盘","数码家电","老客户","1158.3","746.46","0.1","3"
"2025-01-03","华北","暖阳香薰机","家居生活","企业客户","995","467.65","0","5"
"2025-01-01","华中","极光机械键盘","数码家电","老客户","1458.6","995.28","0.15","4"
"2025-01-04","华北","云感记忆枕","家居生活","老客户","1195","537.75","0","5"
"2025-01-23","西南","暖阳香薰机","家居生活","企业客户","756.2","374.12","0.05","4"
"2025-01-23","华中","原木收纳架","家居生活","老客户","658","342.16","0","2"
"2025-01-25","西南","城市通勤双肩包","服饰箱包","老客户","1077","516.96","0","3"
"2025-01-16","华南","城市通勤双肩包","服饰箱包","企业客户","2387.35","1206.24","0.05","7"
"2025-01-13","华中","暖阳香薰机","家居生活","老客户","567.15","280.59","0.05","3"
"2025-01-13","西南","低糖燕麦脆","食品饮料","新客户","327.75","151.8","0.05","5"
"2025-01-11","华东","极光机械键盘","数码家电","企业客户","2574","1492.92","0","6"
"2025-01-28","西南","极光机械键盘","数码家电","新客户","858","497.64","0","2"
"2025-01-17","华中","轻羽智能手表","数码家电","新客户","3416.2","2193.56","0.05","4"
"2025-01-28","华东","极光机械键盘","数码家电","新客户","2145","1244.1","0","5"
"2025-01-14","华中","轻羽智能手表","数码家电","新客户","2697","1645.17","0","3"
"2025-01-25","华东","星云降噪耳机","数码家电","企业客户","7304.55","4305.84","0.05","11"
"2025-01-06","华中","复古帆布鞋","服饰箱包","新客户","242.1","131.81","0.1","1"
"2025-01-17","华东","星云降噪耳机","数码家电","新客户","2796","1957.2","0.2","5"
"2025-01-12","华东","暖阳香薰机","家居生活","老客户","995","467.65","0","5"
"2025-01-18","西南","原木收纳架","家居生活","企业客户","1118.6","684.32","0.15","4"
"2025-01-19","华中","每日坚果礼盒","食品饮料","新客户","405.45","295.74","0.15","3"
"2025-01-20","华中","暖阳香薰机","家居生活","新客户","179.1","93.53","0.1","1"
"2025-01-05","华中","每日坚果礼盒","食品饮料","老客户","405.45","295.74","0.15","3"
"2025-01-26","华东","每日坚果礼盒","食品饮料","老客户","477","295.74","0","3"
"2025-01-08","华东","星云降噪耳机","数码家电","企业客户","5592","3131.52","0","8"
"2025-01-24","西南","每日坚果礼盒","食品饮料","企业客户","1113","690.06","0","7"
"2025-01-21","华中","低糖燕麦脆","食品饮料","企业客户","351.9","182.16","0.15","6"
"2025-01-13","华中","极光机械键盘","数码家电","企业客户","1930.5","1244.1","0.1","5"
"2025-02-26","华南","复古帆布鞋","服饰箱包","新客户","484.2","263.62","0.1","2"
"2025-02-24","华东","城市通勤双肩包","服饰箱包","新客户","1023.15","516.96","0.05","3"
"2025-02-14","华南","城市通勤双肩包","服饰箱包","新客户","861.6","516.96","0.2","3"
"2025-02-09","华东","低糖燕麦脆","食品饮料","企业客户","552","242.88","0","8"
"2025-02-22","华南","暖阳香薰机","家居生活","老客户","199","93.53","0","1"
"2025-02-26","西南","城市通勤双肩包","服饰箱包","新客户","1077","516.96","0","3"
"2025-02-18","华中","轻氧防晒外套","服饰箱包","企业客户","1674.4","899.99","0.2","7"
"2025-02-24","华中","低糖燕麦脆","食品饮料","老客户","138","60.72","0","2"
"2025-02-26","西南","城市通勤双肩包","服饰箱包","企业客户","1705.25","861.6","0.05","5"
"2025-02-22","华南","每日坚果礼盒","食品饮料","新客户","318","197.16","0","2"
"2025-02-25","华北","复古帆布鞋","服饰箱包","老客户","538","263.62","0","2"
"2025-02-04","华中","星云降噪耳机","数码家电","企业客户","3355.2","2348.64","0.2","6"
"2025-02-10","华南","原木收纳架","家居生活","企业客户","1398.25","855.4","0.15","5"
"2025-02-04","华中","原木收纳架","家居生活","老客户","1250.2","684.32","0.05","4"
"2025-02-21","华中","云感记忆枕","家居生活","新客户","956","430.2","0","4"
"2025-02-03","华东","星云降噪耳机","数码家电","老客户","559.2","391.44","0.2","1"
"2025-02-17","华东","暖阳香薰机","家居生活","老客户","567.15","280.59","0.05","3"
"2025-02-19","华中","山野挂耳咖啡","食品饮料","老客户","89","34.71","0","1"
"2025-02-13","华中","复古帆布鞋","服饰箱包","老客户","914.6","527.24","0.15","4"
"2025-02-02","西南","低糖燕麦脆","食品饮料","老客户","117.3","60.72","0.15","2"
"2025-02-23","西南","低糖燕麦脆","食品饮料","老客户","207","91.08","0","3"
"2025-02-21","华北","复古帆布鞋","服饰箱包","新客户","269","131.81","0","1"
"2025-02-17","华南","城市通勤双肩包","服饰箱包","企业客户","1723.2","1033.92","0.2","6"
"2025-02-24","华北","复古帆布鞋","服饰箱包","老客户","1076","527.24","0","4"
"2025-02-23","华中","极光机械键盘","数码家电","新客户","1372.8","995.28","0.2","4"
"2025-02-15","华北","山野挂耳咖啡","食品饮料","新客户","356","173.55","0.2","5"
"2025-02-21","华东","低糖燕麦脆","食品饮料","企业客户","458.85","212.52","0.05","7"
"2025-02-18","华中","原木收纳架","家居生活","企业客户","1562.75","855.4","0.05","5"
"2025-02-26","华东","每日坚果礼盒","食品饮料","企业客户","763.2","591.48","0.2","6"
"2025-02-24","华东","星云降噪耳机","数码家电","老客户","1398","782.88","0","2"
"2025-02-13","华北","复古帆布鞋","服饰箱包","新客户","511.1","263.62","0.05","2"
"2025-02-03","华中","每日坚果礼盒","食品饮料","新客户","286.2","197.16","0.1","2"
"2025-02-08","华中","低糖燕麦脆","食品饮料","新客户","69","30.36","0","1"
"2025-02-13","华中","暖阳香薰机","家居生活","老客户","756.2","374.12","0.05","4"
"2025-02-04","华北","低糖燕麦脆","食品饮料","新客户","186.3","91.08","0.1","3"
"2025-02-11","华中","每日坚果礼盒","食品饮料","企业客户","946.05","690.06","0.15","7"
"2025-03-26","华南","原木收纳架","家居生活","老客户","838.95","513.24","0.15","3"
"2025-03-24","华北","暖阳香薰机","家居生活","企业客户","1791","841.77","0","9"
"2025-03-27","华东","星云降噪耳机","数码家电","新客户","2516.4","1565.76","0.1","4"
"2025-03-13","华东","山野挂耳咖啡","食品饮料","新客户","178","69.42","0","2"
"2025-03-01","华北","极光机械键盘","数码家电","新客户","1222.65","746.46","0.05","3"
"2025-03-24","华北","低糖燕麦脆","食品饮料","企业客户","483","212.52","0","7"
"2025-03-25","华北","星云降噪耳机","数码家电","新客户","3355.2","2348.64","0.2","6"
"2025-03-03","西南","城市通勤双肩包","服饰箱包","老客户","305.15","172.32","0.15","1"
"2025-03-10","华中","山野挂耳咖啡","食品饮料","老客户","284.8","138.84","0.2","4"
"2025-03-14","华中","云感记忆枕","家居生活","新客户","812.6","430.2","0.15","4"
"2025-03-23","华东","星云降噪耳机","数码家电","企业客户","4893","2740.08","0","7"
"2025-03-10","华南","轻氧防晒外套","服饰箱包","企业客户","1614.6","771.42","0.1","6"
"2025-03-09","华北","暖阳香薰机","家居生活","老客户","1014.9","561.18","0.15","6"
"2025-03-17","华南","轻氧防晒外套","服饰箱包","老客户","478.4","257.14","0.2","2"
"2025-03-17","华中","原木收纳架","家居生活","老客户","329","171.08","0","1"
"2025-03-24","华中","城市通勤双肩包","服饰箱包","新客户","1148.8","689.28","0.2","4"
"2025-03-20","华南","星云降噪耳机","数码家电","老客户","3145.5","1957.2","0.1","5"
"2025-03-01","华中","云感记忆枕","家居生活","新客户","717","322.65","0","3"
"2025-03-12","华北","轻羽智能手表","数码家电","企业客户","5978.35","3838.73","0.05","7"
"2025-03-07","西南","低糖燕麦脆","食品饮料","企业客户","220.8","121.44","0.2","4"
"2025-03-02","华中","极光机械键盘","数码家电","新客户","1544.4","995.28","0.1","4"
"2025-03-07","华中","原木收纳架","家居生活","新客户","1316","684.32","0","4"
"2025-03-26","华中","星云降噪耳机","数码家电","老客户","2097","1174.32","0","3"
"2025-03-13","华南","轻羽智能手表","数码家电","老客户","1798","1096.78","0","2"
"2025-03-04","华北","原木收纳架","家居生活","企业客户","1776.6","1026.48","0.1","6"
"2025-03-16","华南","云感记忆枕","家居生活","企业客户","2031.5","1075.5","0.15","10"
"2025-03-18","华北","云感记忆枕","家居生活","新客户","1135.25","537.75","0.05","5"
"2025-03-18","华东","暖阳香薰机","家居生活","老客户","378.1","187.06","0.05","2"
"2025-03-20","华南","极光机械键盘","数码家电","新客户","1716","995.28","0","4"
"2025-03-04","西南","山野挂耳咖啡","食品饮料","新客户","75.65","34.71","0.15","1"
"2025-03-09","华北","复古帆布鞋","服饰箱包","企业客户","2057.85","1186.29","0.15","9"
"2025-03-10","华东","每日坚果礼盒","食品饮料","新客户","572.4","394.32","0.1","4"
"2025-03-03","华东","星云降噪耳机","数码家电","企业客户","5976.45","3522.96","0.05","9"
"2025-03-03","华东","轻氧防晒外套","服饰箱包","企业客户","1779.05","899.99","0.15","7"
"2025-03-13","华中","轻氧防晒外套","服饰箱包","新客户","1196","514.28","0","4"
"2025-03-15","华东","复古帆布鞋","服饰箱包","新客户","1452.6","790.86","0.1","6"
"2025-04-26","西南","轻氧防晒外套","服饰箱包","老客户","598","257.14","0","2"
"2025-04-19","华南","云感记忆枕","家居生活","企业客户","1912","860.4","0","8"
"2025-04-21","西南","山野挂耳咖啡","食品饮料","企业客户","640.8","277.68","0.1","8"
"2025-04-27","西南","星云降噪耳机","数码家电","老客户","1677.6","1174.32","0.2","3"
"2025-04-28","西南","轻氧防晒外套","服饰箱包","老客户","1196","514.28","0","4"
"2025-04-19","华东","云感记忆枕","家居生活","新客户","430.2","215.1","0.1","2"
"2025-04-18","华北","复古帆布鞋","服饰箱包","新客户","484.2","263.62","0.1","2"
"2025-04-10","华北","云感记忆枕","家居生活","老客户","1195","537.75","0","5"
"2025-04-03","华东","原木收纳架","家居生活","企业客户","3619","1881.88","0","11"
"2025-04-14","华北","轻氧防晒外套","服饰箱包","老客户","1435.2","771.42","0.2","6"
"2025-04-06","华东","原木收纳架","家居生活","老客户","1776.6","1026.48","0.1","6"
"2025-04-25","西南","山野挂耳咖啡","食品饮料","企业客户","534","208.26","0","6"
"2025-04-28","华北","复古帆布鞋","服饰箱包","企业客户","1452.6","790.86","0.1","6"
"2025-04-23","华北","复古帆布鞋","服饰箱包","新客户","914.6","527.24","0.15","4"
"2025-04-14","华北","复古帆布鞋","服饰箱包","新客户","1371.9","790.86","0.15","6"
"2025-04-12","华北","每日坚果礼盒","食品饮料","老客户","318","197.16","0","2"
"2025-04-08","华北","极光机械键盘","数码家电","新客户","1158.3","746.46","0.1","3"
"2025-04-18","华南","云感记忆枕","家居生活","企业客户","1828.35","967.95","0.15","9"
"2025-04-19","西南","低糖燕麦脆","食品饮料","新客户","234.6","121.44","0.15","4"
"2025-04-03","华东","复古帆布鞋","服饰箱包","企业客户","2421","1318.1","0.1","10"
"2025-04-18","华南","低糖燕麦脆","食品饮料","新客户","186.3","91.08","0.1","3"
"2025-04-10","华北","星云降噪耳机","数码家电","新客户","2097","1174.32","0","3"
"2025-04-14","华北","轻氧防晒外套","服饰箱包","新客户","1345.5","642.85","0.1","5"
"2025-04-23","华中","复古帆布鞋","服饰箱包","老客户","1143.25","659.05","0.15","5"
"2025-04-21","华中","云感记忆枕","家居生活","企业客户","1912","860.4","0","8"
"2025-04-21","西南","轻羽智能手表","数码家电","企业客户","4854.6","3290.34","0.1","6"
"2025-04-14","华北","城市通勤双肩包","服饰箱包","老客户","1220.6","689.28","0.15","4"
"2025-04-26","西南","城市通勤双肩包","服饰箱包","老客户","718","344.64","0","2"
"2025-04-15","华南","低糖燕麦脆","食品饮料","新客户","276","121.44","0","4"
"2025-04-28","华南","轻氧防晒外套","服饰箱包","新客户","1794","771.42","0","6"
"2025-04-25","华南","轻羽智能手表","数码家电","老客户","3056.6","2193.56","0.15","4"
"2025-04-22","华东","星云降噪耳机","数码家电","企业客户","6291","3914.4","0.1","10"
"2025-04-16","华南","低糖燕麦脆","食品饮料","新客户","207","91.08","0","3"
"2025-04-06","华南","暖阳香薰机","家居生活","企业客户","2079.55","1028.83","0.05","11"
"2025-04-12","华东","复古帆布鞋","服饰箱包","企业客户","2905.2","1581.72","0.1","12"
"2025-04-17","华东","轻羽智能手表","数码家电","企业客户","5663.7","3838.73","0.1","7"
"2025-05-02","西南","极光机械键盘","数码家电","新客户","1716","995.28","0","4"
"2025-05-06","华北","原木收纳架","家居生活","企业客户","1842.4","1197.56","0.2","7"
"2025-05-17","华中","山野挂耳咖啡","食品饮料","新客户","80.1","34.71","0.1","1"
"2025-05-27","西南","复古帆布鞋","服饰箱包","企业客户","1452.6","790.86","0.1","6"
"2025-05-15","华北","低糖燕麦脆","食品饮料","新客户","165.6","91.08","0.2","3"
"2025-05-11","华北","山野挂耳咖啡","食品饮料","新客户","302.6","138.84","0.15","4"
"2025-05-25","华北","极光机械键盘","数码家电","新客户","729.3","497.64","0.15","2"
"2025-05-02","西南","极光机械键盘","数码家电","新客户","1287","746.46","0","3"
"2025-05-28","华北","低糖燕麦脆","食品饮料","企业客户","386.4","212.52","0.2","7"
"2025-05-15","华北","云感记忆枕","家居生活","企业客户","2390","1075.5","0","10"
"2025-05-22","华北","极光机械键盘","数码家电","新客户","1544.4","995.28","0.1","4"
"2025-05-09","华中","云感记忆枕","家居生活","新客户","812.6","430.2","0.15","4"
"2025-05-19","西南","城市通勤双肩包","服饰箱包","老客户","718","344.64","0","2"
"2025-05-23","华北","低糖燕麦脆","食品饮料","老客户","414","182.16","0","6"
"2025-05-03","华东","星云降噪耳机","数码家电","企业客户","7689","4305.84","0","11"
"2025-05-14","华东","暖阳香薰机","家居生活","企业客户","1592","935.3","0.2","10"
"2025-05-09","西南","城市通勤双肩包","服饰箱包","企业客户","1525.75","861.6","0.15","5"
"2025-05-23","华南","复古帆布鞋","服饰箱包","老客户","1291.2","790.86","0.2","6"
"2025-05-12","西南","每日坚果礼盒","食品饮料","新客户","636","394.32","0","4"
"2025-05-17","华北","低糖燕麦脆","食品饮料","新客户","165.6","91.08","0.2","3"
"2025-05-01","华北","城市通勤双肩包","服饰箱包","企业客户","2513","1206.24","0","7"
"2025-05-12","华南","极光机械键盘","数码家电","老客户","686.4","497.64","0.2","2"
"2025-05-12","华北","轻氧防晒外套","服饰箱包","新客户","1495","642.85","0","5"
"2025-05-06","华北","山野挂耳咖啡","食品饮料","老客户","253.65","104.13","0.05","3"
"2025-05-22","西南","轻氧防晒外套","服饰箱包","新客户","598","257.14","0","2"
"2025-05-08","西南","云感记忆枕","家居生活","企业客户","1135.25","537.75","0.05","5"
"2025-05-08","华东","复古帆布鞋","服饰箱包","老客户","1883","922.67","0","7"
"2025-05-10","西南","云感记忆枕","家居生活","企业客户","1529.6","860.4","0.2","8"
"2025-05-07","华南","极光机械键盘","数码家电","企业客户","2702.7","1741.74","0.1","7"
"2025-05-17","华北","城市通勤双肩包","服饰箱包","企业客户","1795","861.6","0","5"
"2025-05-07","华南","城市通勤双肩包","服饰箱包","新客户","305.15","172.32","0.15","1"
"2025-05-01","西南","暖阳香薰机","家居生活","企业客户","1393","654.71","0","7"
"2025-05-18","华北","山野挂耳咖啡","食品饮料","新客户","226.95","104.13","0.15","3"
"2025-05-22","华南","轻氧防晒外套","服饰箱包","企业客户","2691","1285.7","0.1","10"
"2025-05-07","华中","星云降噪耳机","数码家电","新客户","1398","782.88","0","2"
"2025-05-07","华北","轻氧防晒外套","服饰箱包","企业客户","1794","771.42","0","6"
"2025-06-12","华南","低糖燕麦脆","食品饮料","企业客户","552","242.88","0","8"
"2025-06-13","西南","原木收纳架","家居生活","企业客户","2368.8","1539.72","0.2","9"
"2025-06-15","西南","云感记忆枕","家居生活","企业客户","1589.35","752.85","0.05","7"
"2025-06-14","华中","每日坚果礼盒","食品饮料","企业客户","1510.5","985.8","0.05","10"
"2025-06-11","华北","极光机械键盘","数码家电","新客户","429","248.82","0","1"
"2025-06-02","华北","云感记忆枕","家居生活","老客户","956","430.2","0","4"
"2025-06-09","华南","云感记忆枕","家居生活","新客户","956","537.75","0.2","5"
"2025-06-03","西南","原木收纳架","家居生活","老客户","1250.2","684.32","0.05","4"
"2025-06-16","华北","星云降噪耳机","数码家电","企业客户","6291","3522.96","0","9"
"2025-06-02","华北","低糖燕麦脆","食品饮料","企业客户","386.4","212.52","0.2","7"
"2025-06-19","华南","复古帆布鞋","服饰箱包","新客户","1506.4","922.67","0.2","7"
